address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"917 PACKARD ST","Ann Arbor",MI,42.268164,-83.737588,1,range_interpolation,917,"Packard St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"214 SMain St","Ann Arbor",MI,42.266638,-83.849042,0.33,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"2339 SHADOWOOD DR","Ann Arbor",MI,42.233082,-83.713268,1,range_interpolation,2339,"Shadowood Dr",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2384 LESLIE CIR","Ann Arbor",MI,42.309096,-83.713365,1,range_interpolation,2384,"Leslie Cir",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 16B","Ann Arbor",MI,42.27806,-83.742496,1,rooftop,555,"E William St 16B",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"1855 SHIRLEY LN","Ann Arbor",MI,42.301016,-83.719231,1,range_interpolation,1855,"Shirley Ln",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"2236 FULLER CT","Ann Arbor",MI,42.286054,-83.717159,1,range_interpolation,2236,"Fuller Ct",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"702 NFifth Ave","Ann Arbor",MI,42.266638,-83.849042,0.33,place,,,,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"712 N MAIN ST","Ann Arbor",MI,42.287539,-83.747698,1,range_interpolation,712,"N Main St",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
"3135 S STATE ST","Ann Arbor",MI,42.242143,-83.739043,1,range_interpolation,3135,"S State St",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 17J","Ann Arbor",MI,42.277974,-83.742413,1,rooftop,555,"E William St 17J",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"3164 Williamsburg Dr","Ann Arbor",MI,42.235024,-83.696505,0.6,range_interpolation,3164,"Williamsburg Rd",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"224 SUNSET RD","Ann Arbor",MI,42.290926,-83.747916,1,range_interpolation,224,"Sunset Rd",,,"Ann Arbor",MI,"Washtenaw County",48103,US,"TIGER/Line® dataset from the US Census Bureau"
"555 E WILLIAM ST 15K","Ann Arbor",MI,42.277973,-83.742494,1,rooftop,555,"E William St 15K",,,"Ann Arbor",MI,"Washtenaw County",48104,US,Washtenaw
"419 S FIFTH AV","Ann Arbor",MI,42.277569,-83.746044,1,range_interpolation,419,"S 5th Ave",,,"Ann Arbor",MI,"Washtenaw County",48104,US,"TIGER/Line® dataset from the US Census Bureau"
