address,city,state,Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"2817 BRAEBURN CIR","Ann Arbor",MI,42.232413,-83.708591,1,range_interpolation,2817,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3571 Braeburn Cir","Ann Arbor",MI,42.230428,-83.706277,1,range_interpolation,3571,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3507 Braeburn Cir","Ann Arbor",MI,42.230995,-83.706302,1,range_interpolation,3507,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3346 Braeburn Cir","Ann Arbor",MI,42.233412,-83.708841,1,range_interpolation,3346,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3053 Braeburn Cir","Ann Arbor",MI,42.234476,-83.708968,1,range_interpolation,3053,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3484 Braeburn Cir","Ann Arbor",MI,42.23433,-83.708689,1,range_interpolation,3484,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2311 ARROWWOOD TRL","Ann Arbor",MI,42.307755,-83.734799,1,range_interpolation,2311,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3462 Braeburn Cir","Ann Arbor",MI,42.234183,-83.708715,1,range_interpolation,3462,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3303 Braeburn Cir","Ann Arbor",MI,42.233145,-83.708821,0.9,range_interpolation,3303,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2775 ARROWWOOD TRL","Ann Arbor",MI,42.307715,-83.729031,1,range_interpolation,2775,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3286 Braeburn Cir","Ann Arbor",MI,42.23466,-83.708072,1,range_interpolation,3286,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2674 Arrowwood Trl","Ann Arbor",MI,42.308478,-83.729909,1,range_interpolation,2674,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
"3297 BRAEBURN CIR","Ann Arbor",MI,42.234661,-83.708036,0.9,range_interpolation,3297,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2607 BRAEBURN CIR","Ann Arbor",MI,42.234383,-83.708668,0.9,range_interpolation,2607,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"3036 Braeburn Cir","Ann Arbor",MI,42.234536,-83.708524,1,range_interpolation,3036,"Braeburn Cir",,,"Ann Arbor",MI,"Washtenaw County",48108,US,"TIGER/Line® dataset from the US Census Bureau"
"2611 Arrowwood Trl","Ann Arbor",MI,42.308545,-83.730837,1,range_interpolation,2611,"Arrowwood Trl",,,"Ann Arbor",MI,"Washtenaw County",48105,US,"TIGER/Line® dataset from the US Census Bureau"
